Crime Date,Agency,Description,Type,Group
4-17-17,TROOP 6 STATE POLICE,Larceny/Shoplifting,Theft,PROPERTY
4-16-17,TROOP 6 STATE POLICE,Simple Assault/Police Officer/Other Assaults/Non-Aggravated,Assault,OTHER
4-16-17,TROOP 6 STATE POLICE,Simple Assault/Police Officer/Other Assaults/Non-Aggravated,Assault,OTHER
4-16-17,TROOP 6 STATE POLICE,IMPERSONATION,Fraud,OTHER
4-16-17,TROOP 6 STATE POLICE,Contributing to the Delinquency of a Minor/Endangering the Welfare of a Child,Domestic,OTHER
4-16-17,TROOP 6 STATE POLICE,Resisting Arrest,Obstruction of justice -- police,OTHER
4-16-17,TROOP 6 STATE POLICE,Driving Under the Influence/Liquor,Traffic,OTHER
4-16-17,TROOP 6 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-16-17,TROOP 6 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-16-17,TROOP 6 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-16-17,TROOP 6 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-10-17,DNREC-FISH & WILDLIFE NATURAL RESOURCES,Trapping Regulations,Conservation,OTHER
4-09-17,NEW CASTLE COUNTY PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-07-17,TROOP 6 STATE POLICE,Hit and Run,Traffic,OTHER
4-07-17,TROOP 6 STATE POLICE,Hit and Run,Traffic,OTHER
4-07-17,TROOP 6 STATE POLICE,Hit and Run,Traffic,OTHER
4-07-17,TROOP 6 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-07-17,TROOP 6 STATE POLICE,Moving Violation/Traffic,Traffic,OTHER
4-01-17,TROOP 6 STATE POLICE,Resisting Arrest,Obstruction of justice -- police,OTHER
4-01-17,TROOP 6 STATE POLICE,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-01-17,TROOP 6 STATE POLICE,Loitering/Adult,Disorderly conduct,OTHER
4-01-17,TROOP 6 STATE POLICE,Traffic Offense/Free Text,Traffic,OTHER
4-01-17,TROOP 6 STATE POLICE,Trespassing/Free Text,Trespassing,OTHER
4-01-17,TROOP 6 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
