Crime Date,Agency,Description,Type,Group
4-25-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-22-17,WILMINGTON PD,Receiving Stolen Property,Stolen property,OTHER
4-22-17,WILMINGTON PD,Heroin/Possession with Intent to Deliver,Drugs,DRUGS
4-22-17,WILMINGTON PD,Marijuana/Possession with Intent to Deliver,Drugs,DRUGS
4-22-17,WILMINGTON PD,Destroying/Tampering Evidence,Obstruction of justice -- police,OTHER
4-22-17,WILMINGTON PD,Carrying a Concealed Deadly Weapon/Deadly Instrument/CCDW/CCDI,Weapons,WEAPONS
4-22-17,WILMINGTON PD,Carrying Prohibited,Weapons,WEAPONS
4-22-17,WILMINGTON PD,Possession of Weapon,Weapons,WEAPONS
4-22-17,WILMINGTON PD,Illegally Firing a Weapon,Weapons,WEAPONS
4-19-17,WILMINGTON PD,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-15-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-11-17,TROOP 3 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
4-10-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-10-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-09-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-09-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-09-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-08-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-08-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-04-17,TROOP 3 STATE POLICE,Kidnap/Free Text,Kidnap,VIOLENT
4-04-17,TROOP 3 STATE POLICE,Robbery/Strong-Arm Highway,Robbery,VIOLENT
4-04-17,TROOP 3 STATE POLICE,Simple Assault/Non-Family/Other Assaults/Non-Aggravated,Assault,OTHER
4-04-17,TROOP 3 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
4-04-17,TROOP 3 STATE POLICE,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-02-17,TROOP 3 STATE POLICE,Damage/Private Property,Criminal mischief,OTHER
4-02-17,TROOP 3 STATE POLICE,Harassing Communication/Phone/Wire/Mail Only,Disorderly conduct,OTHER
4-01-17,TROOP 3 STATE POLICE,Domestic/Non-Family/Verbal,Domestic,OTHER
