Crime Date,Agency,Description,Type,Group
4-24-17,TROOP 6 STATE POLICE,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-24-17,TROOP 6 STATE POLICE,Vehicle Theft ,Vehicle theft,PROPERTY
4-19-17,DIVISION OF GAMING ENFORCEMENT,Larceny/From Building,Theft,PROPERTY
4-15-17,TROOP 6 STATE POLICE,Damage/Public Property,Criminal mischief,OTHER
4-15-17,TROOP 6 STATE POLICE,Resisting Arrest,Obstruction of justice -- police,OTHER
4-15-17,TROOP 6 STATE POLICE,Local Fugitive/Wanted,Local fugitive,OTHER
4-15-17,TROOP 6 STATE POLICE,Disturbing the Peace/Public Nuisance,Disorderly conduct,OTHER
4-11-17,DIVISION OF GAMING ENFORCEMENT,IMPERSONATION,Fraud,OTHER
4-11-17,DIVISION OF GAMING ENFORCEMENT,IMPERSONATION,Fraud,OTHER
4-11-17,DIVISION OF GAMING ENFORCEMENT,Trespassing/Free Text,Trespassing,OTHER
4-01-17,TROOP 6 STATE POLICE,Domestic/Family/Verbal,Domestic,OTHER
3-31-17,DIVISION OF GAMING ENFORCEMENT,Fraud/Free Text,Fraud,OTHER
