Crime Date,Agency,Description,Type,Group
4-26-17,WILMINGTON PD,Aggravated Assault/Non-Family Other Dangerous Weapon,Aggravated assault,VIOLENT
4-26-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-19-17,WILMINGTON PD,Larceny/Shoplifting,Theft,PROPERTY
4-17-17,WILMINGTON PD,Conservation/Environment,Conservation,OTHER
4-14-17,WILMINGTON PD,Cocaine/Possession with Intent to Deliver,Drugs,DRUGS
4-14-17,WILMINGTON PD,Cocaine/Possession,Drugs,DRUGS
4-10-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
4-08-17,TROOP 5 STATE POLICE,Offensive Touching/Other Assaults/Non-Aggravated,Assault,OTHER
4-05-17,HRY - HOWARD R. YOUNG COR. INST.,Flight to Avoid Prosecution/Out-of-State Fugitive,Local fugitive,OTHER
4-05-17,WILMINGTON PD,Aggravated Assault/Non-Family Firearm,Aggravated assault,VIOLENT
4-05-17,WILMINGTON PD,Aggravated Assault/Non-Family Firearm,Aggravated assault,VIOLENT
4-05-17,WILMINGTON PD,Possession of Weapon,Weapons,WEAPONS
4-04-17,WILMINGTON PD,Engaging in a Crap Game,Gambling,OTHER
4-02-17,NEW CASTLE COUNTY PD,Lost or Misplaced Property/Other Property Recovers/OPR/Includes Drugs,Recovered property,OTHER
4-01-17,WILMINGTON PD,Larceny/From Vehicle/Not Attached ,Theft,PROPERTY
4-01-17,WILMINGTON PD,Damage/Private Property,Criminal mischief,OTHER
3-31-17,NEW CASTLE COUNTY PD,Marijuana/Possession,Drugs,DRUGS
3-30-17,WILMINGTON PD,Trespassing/Free Text,Trespassing,OTHER
